-10100,3.04,0,2.27,641,2.07,1115,09_31_34_27_06_2025,-9.21,3.13,0.64,0.13,-1.40,0.71
-10183,3.04,1344,2.17,642,2.07,1225,09_31_34_27_06_2025,-9.15,3.52,0.69,-0.05,-0.01,0.00
-9994,3.03,1485,2.16,641,2.07,1245,09_31_34_27_06_2025,-9.17,3.51,0.67,-0.05,-0.03,-0.01
-10029,3.03,1543,2.16,641,2.07,1265,09_31_34_27_06_2025,-9.16,3.47,0.65,-0.04,-0.04,-0.02
-10040,3.03,1348,2.17,641,2.07,1285,09_31_34_27_06_2025,-9.17,3.42,0.64,-0.04,-0.05,-0.03
-10120,3.04,1468,2.16,641,2.07,1305,09_31_34_27_06_2025,-9.18,3.32,0.62,-0.05,-0.06,-0.02
-10051,3.03,1365,2.17,641,2.07,1328,09_31_34_27_06_2025,-9.20,3.25,0.60,-0.06,-0.06,-0.02
-9977,3.03,1365,2.17,641,2.07,1348,09_31_34_27_06_2025,-9.21,3.18,0.58,-0.07,-0.06,-0.02
-10222,3.05,1592,2.15,642,2.07,1368,09_31_34_27_06_2025,-9.23,3.12,0.53,-0.09,-0.06,-0.03
-10216,3.05,1981,2.12,641,2.07,1388,09_31_34_27_06_2025,-9.26,3.01,0.51,-0.08,-0.06,-0.03
-9979,3.03,1829,2.13,641,2.07,1409,09_31_34_27_06_2025,-9.25,2.92,0.51,-0.07,-0.06,-0.04
-10007,3.03,1839,2.13,641,2.07,1429,09_31_34_27_06_2025,-9.24,2.88,0.50,-0.06,-0.05,-0.03
-10044,3.03,1911,2.13,641,2.07,1452,09_31_34_27_06_2025,-9.25,2.83,0.48,-0.04,-0.05,-0.02
-9980,3.03,2034,2.12,641,2.07,1475,09_31_34_27_06_2025,-9.25,2.84,0.48,-0.01,-0.04,-0.01
-10005,3.03,1856,2.13,641,2.07,1497,09_31_34_27_06_2025,-9.27,2.88,0.47,-0.02,-0.02,-0.00
-9922,3.02,1669,2.15,642,2.07,1520,09_31_34_27_06_2025,-9.25,2.93,0.49,-0.03,-0.01,0.00
-9927,3.02,1718,2.14,641,2.07,1540,09_31_34_27_06_2025,-9.25,2.97,0.50,-0.04,0.00,0.00
-10063,3.04,1934,2.13,641,2.07,1560,09_31_34_27_06_2025,-9.24,3.06,0.51,-0.03,0.02,-0.00
-10072,3.04,1711,2.14,641,2.07,1583,09_31_34_27_06_2025,-9.23,3.13,0.52,-0.02,0.02,0.00
-10008,3.03,1762,2.14,642,2.07,1603,09_31_34_27_06_2025,-9.20,3.18,0.54,-0.01,0.03,0.01
-10154,3.04,1913,2.13,642,2.07,1623,09_31_34_27_06_2025,-9.19,3.28,0.55,0.01,0.03,0.02
-10010,3.03,1822,2.13,641,2.07,1643,09_31_34_27_06_2025,-9.18,3.34,0.56,0.04,0.03,0.02
-10016,3.03,1730,2.14,641,2.07,1663,09_31_34_27_06_2025,-9.18,3.39,0.58,0.05,0.03,0.02
-10113,3.04,1854,2.13,642,2.07,1686,09_31_34_27_06_2025,-9.18,3.42,0.60,0.06,0.04,0.02
-10100,3.04,1842,2.13,642,2.07,1709,09_31_34_27_06_2025,-9.17,3.42,0.60,0.06,0.03,0.01
-10277,3.05,1813,2.14,642,2.07,1729,09_31_34_27_06_2025,-9.18,3.40,0.61,0.07,0.03,0.01
-10019,3.03,1984,2.12,641,2.07,1750,09_31_34_27_06_2025,-9.17,3.34,0.62,0.08,0.02,0.01
-10050,3.03,1701,2.14,641,2.07,1770,09_31_34_27_06_2025,-9.20,3.30,0.62,0.09,0.02,0.01
-10080,3.04,1719,2.14,641,2.07,1790,09_31_34_27_06_2025,-9.20,3.24,0.61,0.10,0.02,0.01
