raw1,force1,raw2,force2,vbat_raw,vbat_v,millis,time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
4637,0.009,-8251,0.016,606,2961,3472,17_09_49_06_02_2026,0.564,-9.882,0.095,0.005,-0.007,-0.010,-47.252,48.714,-50.263
4637,0.009,-8247,0.016,606,2961,3479,17_09_49_06_02_2026,0.592,-9.888,0.080,0.004,-0.007,-0.010,-47.311,49.021,-49.985
4561,0.003,-8247,0.016,606,2961,3485,17_09_49_06_02_2026,0.597,-9.899,0.080,0.009,-0.007,-0.010,-47.662,49.152,-49.474
4561,0.003,-8165,0.022,606,2961,3491,17_09_49_06_02_2026,0.597,-9.899,0.080,0.009,-0.007,-0.010,-47.588,48.582,-49.050
4575,0.004,-8290,0.013,606,2961,3502,17_09_49_06_02_2026,0.586,-9.900,0.095,0.009,-0.006,-0.010,-47.515,48.378,-49.956
4662,0.011,-8290,0.013,605,2956,3508,17_09_49_06_02_2026,0.592,-9.912,0.095,0.010,-0.006,-0.009,-47.676,48.612,-50.263
4662,0.011,-8205,0.019,606,2961,3515,17_09_49_06_02_2026,0.579,-9.893,0.102,0.011,-0.006,-0.009,-47.925,48.802,-49.635
4804,0.022,-8137,0.024,606,2961,3521,17_09_49_06_02_2026,0.562,-9.884,0.117,0.007,-0.007,-0.009,-47.778,48.392,-50.000
4674,0.012,-8137,0.024,606,2961,3532,17_09_49_06_02_2026,0.550,-9.885,0.120,0.006,-0.009,-0.011,-48.012,48.115,-50.132
4674,0.012,-8215,0.019,606,2961,3538,17_09_49_06_02_2026,0.549,-9.913,0.104,0.006,-0.009,-0.011,-47.647,48.480,-49.474
4535,0.001,-8307,0.012,605,2956,3545,17_09_49_06_02_2026,0.549,-9.913,0.104,0.004,-0.009,-0.011,-47.954,48.363,-49.182
4539,0.001,-8307,0.012,606,2961,3554,17_09_49_06_02_2026,0.531,-9.890,0.109,0.005,-0.009,-0.007,-47.545,48.348,-49.211
4539,0.001,-8313,0.011,605,2956,3564,17_09_49_06_02_2026,0.529,-9.879,0.085,0.004,-0.009,-0.009,-48.232,48.290,-50.000
4479,-0.003,-8241,0.017,605,2956,3570,17_09_49_06_02_2026,0.541,-9.885,0.074,0.004,-0.010,-0.009,-47.793,48.714,-49.474
4559,0.003,-8241,0.017,606,2961,3579,17_09_49_06_02_2026,0.559,-9.887,0.042,0.007,-0.009,-0.009,-47.442,48.831,-49.678
4559,0.003,-8177,0.021,605,2956,3585,17_09_49_06_02_2026,0.566,-9.899,0.063,0.010,-0.011,-0.009,-47.647,48.378,-49.664
4863,0.026,-7991,0.036,606,2961,3592,17_09_49_06_02_2026,0.566,-9.899,0.063,0.010,-0.011,-0.009,-47.735,48.422,-50.190
4766,0.019,-7991,0.036,605,2956,3603,17_09_49_06_02_2026,0.544,-9.891,0.079,0.012,-0.007,-0.009,-47.939,48.085,-50.278
4766,0.019,-8008,0.034,605,2956,3610,17_09_49_06_02_2026,0.544,-9.891,0.079,0.012,-0.007,-0.009,-47.662,48.568,-49.708
4645,0.009,-7986,0.036,606,2961,3617,17_09_49_06_02_2026,0.548,-9.892,0.102,0.011,-0.007,-0.009,-47.515,48.568,-49.079
4681,0.012,-8066,0.030,606,2961,3628,17_09_49_06_02_2026,0.549,-9.890,0.114,0.010,-0.007,-0.009,-47.735,48.772,-48.962
4651,0.010,-8188,0.021,605,2956,3640,17_09_49_06_02_2026,0.562,-9.896,0.108,0.007,-0.007,-0.009,-48.129,48.524,-50.058
4651,0.010,-8083,0.029,605,2956,3653,17_09_49_06_02_2026,0.558,-9.887,0.102,0.007,-0.006,-0.007,-47.632,48.465,-49.576
4651,0.010,-8064,0.030,606,2961,3664,17_09_49_06_02_2026,0.569,-9.896,0.095,0.007,-0.007,-0.007,-47.676,48.612,-49.415
4820,0.023,-8064,0.030,606,2961,3670,17_09_49_06_02_2026,0.572,-9.893,0.096,0.009,-0.007,-0.010,-47.135,48.787,-49.313
4725,0.016,-8193,0.020,605,2956,3680,17_09_49_06_02_2026,0.577,-9.893,0.098,0.009,-0.007,-0.009,-47.588,48.188,-50.117
4725,0.016,-8209,0.019,606,2961,3688,17_09_49_06_02_2026,0.562,-9.893,0.098,0.007,-0.006,-0.009,-47.545,48.597,-49.956
4612,0.007,-8209,0.019,606,2961,3694,17_09_49_06_02_2026,0.558,-9.894,0.099,0.009,-0.005,-0.009,-47.501,48.538,-49.854
4607,0.007,-8227,0.018,606,2961,3701,17_09_49_06_02_2026,0.544,-9.901,0.100,0.009,-0.005,-0.009,-47.778,49.094,-49.664
4607,0.007,-8158,0.023,604,2952,3711,17_09_49_06_02_2026,0.536,-9.888,0.096,0.007,-0.006,-0.006,-47.793,48.261,-50.380
4622,0.008,-8158,0.023,605,2956,3718,17_09_49_06_02_2026,0.536,-9.888,0.096,0.007,-0.006,-0.006,-47.705,48.626,-49.605
4622,0.008,-8226,0.018,605,2956,3724,17_09_49_06_02_2026,0.538,-9.890,0.089,0.009,-0.006,-0.007,-47.691,48.685,-49.006
4656,0.010,-8226,0.018,605,2956,3731,17_09_49_06_02_2026,0.546,-9.876,0.077,0.005,-0.007,-0.006,-47.822,48.538,-49.152
4656,0.010,-8166,0.022,606,2961,3737,17_09_49_06_02_2026,0.561,-9.881,0.057,0.005,-0.007,-0.006,-47.325,48.538,-49.284
4447,-0.006,-8023,0.033,605,2956,3747,17_09_49_06_02_2026,0.587,-9.890,0.049,0.007,-0.006,-0.007,-47.559,45.075,-49.518
4459,-0.005,-8023,0.033,606,2961,3754,17_09_49_06_02_2026,0.587,-9.890,0.049,0.007,-0.006,-0.007,-48.246,48.144,-49.196
4459,-0.005,-8084,0.028,605,2956,3760,17_09_49_06_02_2026,0.622,-9.909,0.012,0.011,-0.007,-0.010,-48.042,48.246,-49.605
4628,0.008,-8084,0.028,605,2956,3767,17_09_49_06_02_2026,0.642,-9.966,0.050,0.017,-0.011,-0.006,-47.545,48.714,-49.006
4569,0.004,-8335,0.009,605,2956,3777,17_09_49_06_02_2026,0.584,-9.801,0.148,0.018,-0.006,-0.007,-48.144,48.641,-50.219
4569,0.004,-8420,0.003,606,2961,3783,17_09_49_06_02_2026,0.500,-9.823,0.183,0.015,-0.002,-0.016,-47.910,48.422,-49.430
4543,0.002,-8420,0.003,605,2956,3790,17_09_49_06_02_2026,0.500,-9.823,0.183,0.015,-0.002,-0.016,-47.574,48.699,-49.562
4543,0.002,-8228,0.018,606,2961,3796,17_09_50_06_02_2026,0.491,-10.034,0.127,0.011,-0.005,-0.013,-47.749,48.831,-49.328
4445,-0.006,-8052,0.031,605,2956,3807,17_09_50_06_02_2026,0.474,-9.912,0.187,0.009,-0.011,-0.002,-47.895,48.115,-49.708
4443,-0.006,-8052,0.031,606,2961,3813,17_09_50_06_02_2026,0.505,-9.759,0.189,0.000,-0.010,-0.006,-48.056,48.758,-49.620
4443,-0.006,-8190,0.020,605,2956,3820,17_09_50_06_02_2026,0.569,-9.905,0.053,-0.004,-0.007,-0.010,-47.998,48.860,-49.678
4440,-0.006,-8190,0.020,606,2961,3826,17_09_50_06_02_2026,0.569,-9.905,0.053,-0.004,-0.007,-0.010,-47.939,48.787,-49.152
4439,-0.006,-8268,0.015,605,2956,3836,17_09_50_06_02_2026,0.597,-9.868,0.047,0.000,-0.010,-0.005,-47.939,48.933,-49.474
4439,-0.006,-8193,0.020,606,2961,3843,17_09_50_06_02_2026,0.597,-9.868,0.047,0.011,-0.009,-0.006,-48.699,48.568,-50.000
4638,0.009,-8193,0.020,606,2961,3849,17_09_50_06_02_2026,0.601,-9.846,0.081,0.011,-0.006,-0.009,-48.042,48.626,-49.372
4638,0.009,-8098,0.027,606,2961,3856,17_09_50_06_02_2026,0.574,-9.906,0.060,0.011,-0.006,-0.010,-48.027,48.728,-48.962
4596,0.006,-8098,0.027,606,2961,3862,17_09_50_06_02_2026,0.574,-9.906,0.060,0.011,-0.006,-0.010,-48.246,49.035,-49.269
4454,-0.005,-8161,0.023,605,2956,3872,17_09_50_06_02_2026,0.550,-9.875,0.147,0.015,-0.007,-0.010,-47.472,48.480,-49.927
4454,-0.005,-8294,0.013,606,2961,3879,17_09_50_06_02_2026,0.550,-9.875,0.147,0.013,-0.007,-0.010,-47.822,48.538,-49.298
4562,0.003,-8294,0.013,605,2956,3885,17_09_50_06_02_2026,0.525,-9.881,0.146,0.009,-0.007,-0.009,-48.085,48.845,-48.685
4562,0.003,-8135,0.025,606,2961,3892,17_09_50_06_02_2026,0.531,-9.925,0.133,0.007,-0.007,-0.011,-47.866,48.612,-48.816
4650,0.010,-7950,0.039,605,2956,3904,17_09_50_06_02_2026,0.541,-9.905,0.114,0.005,-0.007,-0.007,-48.158,48.232,-49.854
4800,0.021,-7950,0.039,606,2961,3910,17_09_50_06_02_2026,0.549,-9.866,0.118,0.005,-0.007,-0.006,-48.012,49.225,-49.108
4800,0.021,-8048,0.031,606,2961,3917,17_09_50_06_02_2026,0.549,-9.866,0.118,0.005,-0.007,-0.006,-48.071,49.123,-49.211
