raw1,force1,raw2,force2,vbat_raw,vbat_v,millis,time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
18769,-0.004,-12524,0.038,601,2937,3377,17_06_21_06_02_2026,0.351,-9.887,0.196,0.000,-0.011,-0.006,-28.047,35.823,-61.283
18784,-0.003,-12524,0.038,600,2932,3383,17_06_21_06_02_2026,0.361,-9.886,0.178,0.001,-0.011,-0.006,-27.667,35.618,-61.064
18784,-0.003,-12657,0.028,600,2932,3389,17_06_21_06_02_2026,0.355,-9.892,0.182,0.004,-0.011,-0.006,-27.463,35.647,-60.436
18964,0.011,-12655,0.028,600,2932,3396,17_06_21_06_02_2026,0.355,-9.892,0.182,0.004,-0.011,-0.006,-27.375,35.341,-61.064
18964,0.011,-12633,0.030,601,2937,3407,17_06_21_06_02_2026,0.353,-9.884,0.179,0.001,-0.011,-0.005,-27.507,35.677,-61.853
18909,0.007,-12633,0.030,600,2932,3414,17_06_21_06_02_2026,0.353,-9.884,0.179,0.001,-0.011,-0.005,-27.594,35.531,-61.049
18909,0.007,-12738,0.022,600,2932,3420,17_06_21_06_02_2026,0.364,-9.888,0.188,0.000,-0.011,-0.007,-27.068,35.238,-60.830
18872,0.004,-12738,0.022,600,2932,3427,17_06_21_06_02_2026,0.354,-9.882,0.188,0.004,-0.011,-0.006,-27.097,35.297,-61.298
18872,0.004,-12755,0.021,600,2932,3436,17_06_21_06_02_2026,0.343,-9.885,0.176,0.004,-0.012,-0.006,-27.989,35.180,-61.488
18765,-0.004,-12702,0.025,601,2937,3443,17_06_21_06_02_2026,0.352,-9.881,0.171,0.002,-0.011,-0.006,-27.477,35.647,-60.830
18596,-0.017,-12702,0.025,600,2932,3449,17_06_21_06_02_2026,0.352,-9.881,0.171,0.002,-0.011,-0.006,-27.448,35.618,-61.225
18596,-0.017,-12561,0.035,600,2932,3456,17_06_21_06_02_2026,0.355,-9.880,0.176,0.002,-0.012,-0.006,-27.828,35.428,-61.152
18693,-0.009,-12676,0.027,600,2932,3466,17_06_21_06_02_2026,0.364,-9.885,0.171,0.002,-0.013,-0.007,-27.828,35.472,-61.956
18762,-0.004,-12676,0.027,600,2932,3473,17_06_21_06_02_2026,0.353,-9.887,0.172,0.004,-0.012,-0.006,-28.135,35.297,-61.371
18762,-0.004,-12606,0.032,600,2932,3479,17_06_21_06_02_2026,0.354,-9.885,0.175,0.001,-0.011,-0.007,-27.653,35.984,-61.663
18851,0.002,-12606,0.032,600,2932,3486,17_06_21_06_02_2026,0.354,-9.885,0.175,0.001,-0.011,-0.007,-27.565,35.779,-61.371
18901,0.006,-12659,0.028,601,2937,3496,17_06_21_06_02_2026,0.365,-9.881,0.173,0.001,-0.010,-0.006,-27.434,35.428,-62.160
18901,0.006,-12786,0.018,599,2927,3502,17_06_21_06_02_2026,0.354,-9.881,0.173,0.001,-0.011,-0.006,-27.214,35.691,-60.494
18797,-0.002,-12786,0.018,600,2932,3509,17_06_21_06_02_2026,0.351,-9.890,0.178,0.001,-0.010,-0.007,-27.521,35.706,-61.035
18797,-0.002,-12643,0.029,600,2932,3515,17_06_21_06_02_2026,0.359,-9.887,0.184,0.002,-0.010,-0.006,-27.463,35.647,-60.684
18653,-0.013,-12723,0.023,600,2932,3525,17_06_21_06_02_2026,0.353,-9.886,0.179,0.002,-0.011,-0.006,-27.960,34.887,-61.298
18703,-0.009,-12723,0.023,600,2932,3532,17_06_21_06_02_2026,0.353,-9.886,0.178,0.002,-0.011,-0.006,-27.039,35.311,-60.582
18703,-0.009,-12757,0.020,600,2932,3538,17_06_21_06_02_2026,0.363,-9.892,0.178,0.002,-0.011,-0.006,-26.863,35.399,-60.333
18755,-0.005,-12757,0.020,600,2932,3545,17_06_21_06_02_2026,0.358,-9.888,0.177,0.004,-0.011,-0.006,-27.492,35.457,-60.479
18755,-0.005,-12681,0.026,600,2932,3551,17_06_21_06_02_2026,0.361,-9.894,0.173,0.001,-0.011,-0.006,-27.127,35.428,-60.684
18879,0.005,-12708,0.024,600,2932,3562,17_06_21_06_02_2026,0.360,-9.888,0.179,0.000,-0.011,-0.007,-27.346,35.443,-61.634
18924,0.008,-12708,0.024,600,2932,3569,17_06_21_06_02_2026,0.359,-9.886,0.184,0.002,-0.010,-0.007,-27.799,35.224,-60.757
18924,0.008,-12672,0.027,600,2932,3575,17_06_21_06_02_2026,0.359,-9.886,0.184,0.002,-0.010,-0.007,-27.784,35.560,-60.947
18804,-0.001,-12637,0.030,600,2932,3582,17_06_21_06_02_2026,0.358,-9.881,0.184,0.002,-0.011,-0.007,-27.843,35.618,-60.918
18649,-0.013,-12637,0.030,600,2932,3592,17_06_21_06_02_2026,0.358,-9.882,0.183,0.001,-0.012,-0.007,-27.346,35.063,-61.605
18649,-0.013,-12696,0.025,600,2932,3598,17_06_21_06_02_2026,0.357,-9.890,0.176,0.001,-0.011,-0.007,-27.624,35.589,-60.596
18645,-0.013,-12696,0.025,600,2932,3604,17_06_21_06_02_2026,0.360,-9.881,0.177,0.001,-0.011,-0.005,-27.243,35.779,-60.421
18645,-0.013,-12766,0.020,601,2937,3611,17_06_21_06_02_2026,0.360,-9.881,0.177,0.001,-0.011,-0.005,-27.565,35.721,-60.830
18720,-0.007,-12778,0.019,600,2932,3622,17_06_21_06_02_2026,0.358,-9.884,0.189,0.001,-0.012,-0.006,-27.726,34.946,-60.845
18761,-0.004,-12738,0.022,600,2932,3629,17_06_21_06_02_2026,0.358,-9.884,0.189,0.002,-0.011,-0.006,-27.127,35.691,-60.772
18846,0.002,-12738,0.022,601,2937,3636,17_06_21_06_02_2026,0.353,-9.880,0.185,0.002,-0.010,-0.006,-26.937,35.881,-60.538
18846,0.002,-12814,0.016,600,2932,3643,17_06_21_06_02_2026,0.354,-9.881,0.190,0.004,-0.011,-0.006,-26.907,35.472,-61.181
18757,-0.005,-12954,0.006,600,2932,3653,17_06_21_06_02_2026,0.352,-9.886,0.182,0.004,-0.012,-0.006,-28.077,34.697,-61.546
18834,0.001,-12954,0.006,600,2932,3659,17_06_21_06_02_2026,0.359,-9.885,0.187,0.002,-0.012,-0.007,-27.273,35.706,-61.386
18834,0.001,-12982,0.003,600,2932,3666,17_06_21_06_02_2026,0.359,-9.885,0.187,0.002,-0.012,-0.007,-27.477,35.326,-61.152
18851,0.002,-12982,0.003,600,2932,3672,17_06_21_06_02_2026,0.358,-9.885,0.185,0.001,-0.012,-0.007,-27.375,35.326,-61.429
18890,0.005,-12837,0.014,600,2932,3682,17_06_21_06_02_2026,0.349,-9.880,0.185,0.002,-0.011,-0.007,-27.302,35.677,-62.277
18890,0.005,-12802,0.017,601,2937,3689,17_06_21_06_02_2026,0.363,-9.881,0.190,0.004,-0.012,-0.006,-27.580,35.633,-61.473
