raw1,force1,raw2,force2,vbat_raw,vbat_v,millis,time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
-12063,0.00,-4633,0.00,656,3,98710,10_59_37_29_08_2025,-1.24,8.78,-3.71,0.01,0.08,0.10,-130.34,-7.47,-9.79
-12057,0.00,-4607,0.00,656,3,98747,10_59_37_29_08_2025,-1.24,8.77,-3.70,0.01,-0.01,-0.00,-130.56,-4.05,-9.27
-11996,0.00,-4479,0.00,656,3,98784,10_59_37_29_08_2025,-1.24,8.78,-3.71,0.00,-0.01,-0.01,-130.25,-8.21,-10.33
-11892,0.00,-4454,0.00,656,3,98820,10_59_37_29_08_2025,-1.26,8.77,-3.69,0.01,-0.01,-0.00,-130.02,-7.63,-9.31
-12085,0.00,-4546,0.00,656,3,98860,10_59_37_29_08_2025,-1.25,8.77,-3.71,0.00,-0.01,-0.01,-130.08,-7.57,-10.07
-11749,0.00,-4675,0.00,656,3,98896,10_59_37_29_08_2025,-1.24,8.77,-3.69,0.01,-0.01,-0.00,-130.52,-7.66,-9.35
-11850,0.00,-4367,0.00,655,3,98932,10_59_37_29_08_2025,-1.24,8.79,-3.70,0.00,-0.01,-0.01,-130.37,-7.78,-9.28
-11969,0.00,-4494,0.00,656,3,98969,10_59_37_29_08_2025,-1.24,8.77,-3.68,0.01,-0.01,-0.00,-130.56,-7.35,-9.68
-11858,0.00,-4511,0.00,655,3,99008,10_59_37_29_08_2025,-1.25,8.76,-3.70,0.00,-0.01,-0.01,-130.08,-8.01,-8.94
-12070,0.00,-4575,0.00,655,3,99056,10_59_38_29_08_2025,-1.24,8.78,-3.72,0.01,-0.01,-0.00,-130.36,-7.69,-9.16
-11853,0.00,-4540,0.00,655,3,99096,10_59_38_29_08_2025,-1.24,8.77,-3.71,0.01,-0.01,-0.00,-130.09,-7.79,-9.87
-12005,0.00,-4420,0.00,655,3,99135,10_59_38_29_08_2025,-1.25,8.78,-3.71,0.01,-0.01,-0.01,-129.70,-7.85,-10.00
-11803,0.00,-4463,0.00,656,3,99173,10_59_38_29_08_2025,-1.25,8.77,-3.70,0.01,-0.01,-0.00,-130.20,-7.82,-10.01
-12010,0.00,-4434,0.00,655,3,99216,10_59_38_29_08_2025,-1.25,8.77,-3.71,0.01,-0.01,-0.01,-130.78,-8.07,-9.75
-11880,0.00,-4580,0.00,656,3,99255,10_59_38_29_08_2025,-1.24,8.77,-3.71,0.01,-0.01,-0.00,-130.09,-7.66,-9.82
-11824,0.00,-4427,0.00,656,3,99294,10_59_38_29_08_2025,-1.24,8.77,-3.71,0.01,-0.01,-0.00,-130.39,-7.80,-9.53
-11938,0.00,-4453,0.00,656,3,99332,10_59_38_29_08_2025,-1.25,8.77,-3.70,0.01,-0.01,-0.00,-130.28,-8.04,-9.30
-12124,0.00,-4524,0.00,656,3,99371,10_59_38_29_08_2025,-1.24,8.78,-3.71,0.00,-0.01,-0.00,-130.44,-8.13,-9.72
-11928,0.00,-4340,0.00,656,3,99420,10_59_38_29_08_2025,-1.24,8.78,-3.71,0.00,-0.01,-0.01,-129.92,-7.50,-9.21
-11921,0.00,-4250,0.00,655,3,99459,10_59_38_29_08_2025,-1.26,8.77,-3.70,0.01,-0.01,-0.00,-129.98,-7.79,-9.32
-11920,0.00,-4346,0.00,655,3,99502,10_59_38_29_08_2025,-1.24,8.76,-3.70,0.01,-0.00,-0.01,-129.80,-7.89,-9.94
-11893,0.00,-4450,0.00,655,3,99776,10_59_38_29_08_2025,-1.25,8.77,-3.71,0.01,-0.01,-0.01,-130.61,-8.46,-10.08
-11957,0.00,-4450,0.00,655,3,99816,10_59_38_29_08_2025,-1.25,8.78,-3.70,0.01,-0.01,-0.00,-130.24,-8.21,-9.35
-12033,0.00,-4538,0.00,653,3,99858,10_59_38_29_08_2025,-1.24,8.78,-3.68,0.00,-0.01,-0.01,-130.15,-7.75,-9.31
-11924,0.00,-4297,0.00,655,3,99897,10_59_38_29_08_2025,-1.25,8.77,-3.70,0.00,-0.01,-0.00,-129.80,-7.50,-9.92
-11926,0.00,-4276,0.00,655,3,99937,10_59_38_29_08_2025,-1.23,8.77,-3.70,0.01,-0.01,-0.00,-129.87,-7.99,-9.32
-11975,0.00,-4273,0.00,656,3,99975,10_59_38_29_08_2025,-1.24,8.78,-3.70,0.01,-0.01,-0.00,-130.31,-7.78,-9.21
-12021,0.00,-4234,0.00,656,3,100026,10_59_38_29_08_2025,-1.24,8.77,-3.72,0.01,-0.01,-0.00,-129.66,-7.97,-9.94
-11948,0.00,-4357,0.00,656,3,100065,10_59_39_29_08_2025,-1.23,8.77,-3.72,0.00,-0.01,-0.01,-130.72,-7.44,-9.78
-12118,0.00,-4296,0.00,656,3,100103,10_59_39_29_08_2025,-1.24,8.78,-3.70,0.01,-0.01,-0.00,-130.80,-7.19,-9.60
-11905,0.00,-4420,0.00,655,3,100142,10_59_39_29_08_2025,-1.25,8.77,-3.70,0.00,-0.01,-0.00,-130.23,-7.78,-9.72
-11897,0.00,-4251,0.00,656,3,100182,10_59_39_29_08_2025,-1.25,8.77,-3.70,0.01,-0.01,-0.00,-130.25,-7.72,-10.23
-11968,0.00,-4394,0.00,656,3,100223,10_59_39_29_08_2025,-1.25,8.77,-3.69,0.00,-0.01,-0.01,-130.59,-7.76,-9.66
-12048,0.00,-4336,0.00,655,3,100262,10_59_39_29_08_2025,-1.25,8.79,-3.72,0.01,-0.01,-0.00,-130.65,-7.50,-10.33
-11899,0.00,-4248,0.00,656,3,100302,10_59_39_29_08_2025,-1.25,8.77,-3.70,0.01,-0.00,-0.00,-130.66,-7.76,-9.34
-12049,0.00,-4431,0.00,656,3,100341,10_59_39_29_08_2025,-1.24,8.78,-3.71,0.01,-0.01,-0.01,-130.46,-7.94,-9.53
-11997,0.00,-4312,0.00,655,3,100380,10_59_39_29_08_2025,-1.24,8.78,-3.71,0.01,-0.01,-0.00,-130.61,-8.30,-9.31
-11942,0.00,-4260,0.00,656,3,100430,10_59_39_29_08_2025,-1.26,8.77,-3.70,0.00,-0.01,-0.00,-130.80,-7.79,-9.22
-12034,0.00,-4239,0.00,656,3,100469,10_59_39_29_08_2025,-1.26,8.77,-3.69,0.01,-0.01,-0.00,-130.24,-8.33,-9.46
-11778,0.00,-4357,0.00,656,3,100508,10_59_39_29_08_2025,-1.21,8.77,-3.71,0.01,-0.01,-0.00,-130.33,-7.66,-10.04
-12021,0.00,-4269,0.00,655,3,100547,10_59_39_29_08_2025,-1.26,8.78,-3.69,0.00,-0.01,-0.01,-130.56,-8.20,-10.14
-11893,0.00,-4401,0.00,656,3,100589,10_59_39_29_08_2025,-1.26,8.78,-3.71,0.01,-0.01,-0.00,-130.52,-8.17,-9.81
-12135,0.00,-4189,0.00,655,3,100629,10_59_39_29_08_2025,-1.22,8.77,-3.71,0.01,-0.01,-0.00,-130.82,-7.64,-9.53
-12150,0.00,-4434,0.00,655,3,100667,10_59_39_29_08_2025,-1.25,8.78,-3.70,0.00,-0.01,-0.00,-130.09,-8.29,-9.49
-12011,0.00,-4365,0.00,655,3,100706,10_59_39_29_08_2025,-1.26,8.78,-3.69,0.01,-0.01,-0.00,-130.53,-8.30,-9.35
-11895,0.00,-4241,0.00,655,3,100746,10_59_39_29_08_2025,-1.23,8.78,-3.72,0.01,-0.01,-0.00,-130.52,-7.89,-10.19
-11882,0.00,-4297,0.00,656,3,100797,10_59_39_29_08_2025,-1.26,8.77,-3.70,0.01,-0.01,-0.00,-130.39,-7.76,-8.75
-12050,0.00,-4273,0.00,654,3,100836,10_59_39_29_08_2025,-1.25,8.77,-3.70,0.01,-0.01,-0.00,-130.62,-7.89,-9.44
-11781,0.00,-4299,0.00,656,3,100875,10_59_39_29_08_2025,-1.24,8.77,-3.71,0.00,-0.01,-0.01,-129.98,-7.88,-10.11
-12034,0.00,-4329,0.00,655,3,100914,10_59_39_29_08_2025,-1.25,8.77,-3.69,0.00,-0.01,-0.00,-130.52,-8.08,-9.47
-11823,0.00,-4135,0.00,655,3,100956,10_59_39_29_08_2025,-1.24,8.77,-3.70,0.01,-0.01,-0.00,-130.52,-7.88,-9.15
-11960,0.00,-4374,0.00,656,3,100994,10_59_39_29_08_2025,-1.25,8.77,-3.70,0.01,-0.01,-0.00,-130.18,-8.17,-10.11
-12086,0.00,-4131,0.00,655,3,101033,10_59_39_29_08_2025,-1.25,8.78,-3.71,0.01,-0.01,-0.00,-130.42,-7.92,-9.44
-11968,0.00,-4137,0.00,656,3,101072,10_59_40_29_08_2025,-1.25,8.78,-3.69,0.00,-0.01,-0.01,-130.28,-8.17,-9.63
-12024,0.00,-4234,0.00,656,3,101111,10_59_40_29_08_2025,-1.25,8.77,-3.70,0.01,-0.01,-0.01,-130.52,-8.17,-8.89
-11971,0.00,-4349,0.00,656,3,101160,10_59_40_29_08_2025,-1.25,8.77,-3.70,0.01,-0.01,-0.00,-130.36,-8.05,-9.05
-11822,0.00,-4233,0.00,656,3,101199,10_59_40_29_08_2025,-1.24,8.77,-3.70,0.00,-0.00,-0.00,-130.30,-8.11,-9.51
-12008,0.00,-4365,0.00,655,3,101237,10_59_40_29_08_2025,-1.24,8.78,-3.70,0.01,-0.01,-0.00,-130.47,-7.99,-9.65
-12024,0.00,-4321,0.00,655,3,101276,10_59_40_29_08_2025,-1.25,8.77,-3.70,0.01,-0.01,-0.01,-130.02,-7.79,-9.34
-11750,0.00,-4281,0.00,655,3,101314,10_59_40_29_08_2025,-1.25,8.78,-3.69,0.01,-0.01,-0.01,-130.28,-7.91,-9.00
-11961,0.00,-4116,0.00,655,3,101356,10_59_40_29_08_2025,-1.24,8.78,-3.70,0.00,-0.00,-0.00,-130.42,-7.66,-9.91
-11991,0.00,-4107,0.00,655,3,101394,10_59_40_29_08_2025,-1.25,8.77,-3.70,0.01,-0.01,-0.00,-130.17,-7.91,-9.76
-11720,0.00,-4298,0.00,655,3,101433,10_59_40_29_08_2025,-1.26,8.78,-3.70,0.01,-0.01,-0.00,-130.23,-8.32,-9.46
-11817,0.00,-4198,0.00,656,3,101472,10_59_40_29_08_2025,-1.26,8.78,-3.69,0.01,-0.01,-0.00,-129.92,-8.39,-9.18
-12118,0.00,-4125,0.00,656,3,101522,10_59_40_29_08_2025,-1.23,8.78,-3.70,0.01,-0.01,-0.00,-130.14,-7.70,-9.44
-12047,0.00,-4207,0.00,656,3,101561,10_59_40_29_08_2025,-1.25,8.78,-3.70,0.01,-0.01,-0.00,-129.60,-8.49,-9.65
-11951,0.00,-4313,0.00,655,3,101600,10_59_40_29_08_2025,-1.26,8.77,-3.70,0.01,-0.01,-0.00,-130.49,-8.17,-9.81
-12002,0.00,-4218,0.00,655,3,101638,10_59_40_29_08_2025,-1.24,8.78,-3.71,0.01,-0.01,-0.00,-130.01,-7.85,-9.16
-11722,0.00,-4313,0.00,655,3,101677,10_59_40_29_08_2025,-1.25,8.77,-3.70,0.00,-0.01,-0.00,-129.49,-8.05,-9.00
-12000,0.00,-4168,0.00,656,3,101719,10_59_40_29_08_2025,-1.25,8.77,-3.69,0.01,-0.01,-0.00,-129.95,-8.05,-9.24
-11979,0.00,-4182,0.00,655,3,101757,10_59_40_29_08_2025,-1.25,8.77,-3.71,0.00,-0.01,-0.01,-130.40,-8.02,-8.56
-11872,0.00,-4183,0.00,656,3,101797,10_59_40_29_08_2025,-1.25,8.77,-3.69,0.00,-0.01,-0.00,-130.04,-7.91,-9.00
-11918,0.00,-4038,0.00,656,3,101835,10_59_40_29_08_2025,-1.25,8.78,-3.71,0.01,-0.01,-0.00,-129.93,-8.21,-9.08
-11847,0.00,-4432,0.00,656,3,101887,10_59_40_29_08_2025,-1.25,8.77,-3.71,0.01,-0.01,-0.00,-129.99,-7.73,-9.46
-11996,0.00,-4224,0.00,656,3,101926,10_59_40_29_08_2025,-1.25,8.77,-3.69,0.01,-0.01,-0.00,-130.36,-7.59,-10.14
-11942,0.00,-4350,0.00,655,3,101964,10_59_40_29_08_2025,-1.26,8.78,-3.69,-0.00,-0.01,-0.01,-130.23,-7.89,-9.22
-12051,0.00,-4217,0.00,655,3,102003,10_59_40_29_08_2025,-1.25,8.78,-3.71,0.01,-0.01,0.00,-130.37,-7.60,-9.13
-11815,0.00,-4179,0.00,656,3,102042,10_59_40_29_08_2025,-1.25,8.78,-3.67,0.00,-0.01,-0.01,-129.85,-7.44,-9.51
-11967,0.00,-4187,0.00,656,3,102083,10_59_41_29_08_2025,-1.24,8.76,-3.75,0.01,-0.01,-0.00,-129.92,-7.48,-8.18
-11890,0.00,-4316,0.00,656,3,102122,10_59_41_29_08_2025,-1.26,8.78,-3.66,0.00,-0.01,-0.01,-130.56,-7.72,-8.87
-11834,0.00,-4251,0.00,656,3,102161,10_59_41_29_08_2025,-1.23,8.77,-3.73,0.01,-0.01,-0.00,-130.46,-7.45,-9.05
-11956,0.00,-4195,0.00,656,3,102200,10_59_41_29_08_2025,-1.27,8.78,-3.67,0.01,-0.01,-0.00,-130.74,-7.73,-9.37
-11893,0.00,-4134,0.00,655,3,102239,10_59_41_29_08_2025,-1.26,8.78,-3.72,0.00,-0.00,-0.01,-130.20,-7.59,-8.80
-11978,0.00,-4190,0.00,656,3,102288,10_59_41_29_08_2025,-1.23,8.78,-3.69,0.01,-0.01,-0.00,-130.69,-7.79,-9.56
-11989,0.00,-4172,0.00,656,3,102327,10_59_41_29_08_2025,-1.26,8.78,-3.69,0.00,-0.01,-0.01,-130.68,-8.07,-9.18
-11822,0.00,-4207,0.00,656,3,102366,10_59_41_29_08_2025,-1.25,8.78,-3.70,0.01,-0.01,-0.00,-130.62,-7.82,-9.12
-12091,0.00,-4276,0.00,655,3,102405,10_59_41_29_08_2025,-1.24,8.78,-3.70,0.00,-0.01,-0.01,-130.44,-7.78,-9.88
-11910,0.00,-4323,0.00,655,3,102447,10_59_41_29_08_2025,-1.24,8.78,-3.70,0.01,-0.01,-0.00,-130.34,-8.13,-9.40
-12078,0.00,-4276,0.00,656,3,102486,10_59_41_29_08_2025,-1.25,8.77,-3.69,0.00,-0.01,-0.01,-130.69,-7.50,-10.00
-11866,0.00,-4215,0.00,655,3,102525,10_59_41_29_08_2025,-1.25,8.78,-3.71,0.01,-0.01,-0.00,-130.61,-7.53,-9.49
-11974,0.00,-4344,0.00,656,3,102564,10_59_41_29_08_2025,-1.25,8.77,-3.68,0.00,-0.01,-0.00,-129.99,-7.53,-9.81



















