raw1,force1,raw2,force2,vbat_raw,vbat_v,millis,time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
-12622,3.23,-5404,2.68,655,3,3193,06_46_01_04_09_2025,-1.86,8.68,-3.64,0.01,-0.01,-0.00,-130.78,-7.13,-7.94
-12766,3.24,-5311,2.68,655,3,3472,06_46_01_04_09_2025,-1.86,8.71,-3.65,0.01,-0.01,-0.00,-131.54,-7.92,-8.55
-12581,3.23,-5189,2.67,656,3,3548,06_46_02_04_09_2025,-1.84,8.69,-3.66,0.01,-0.01,-0.00,-130.87,-7.83,-8.64
-12613,3.23,-5222,2.67,656,3,3585,06_46_02_04_09_2025,-1.86,8.70,-3.64,0.01,-0.01,-0.00,-130.72,-8.08,-7.88
-12564,3.22,-5128,2.66,655,3,3624,06_46_02_04_09_2025,-1.86,8.71,-3.64,0.01,-0.01,-0.01,-130.50,-7.94,-8.18
-12651,3.23,-5173,2.66,656,3,3661,06_46_02_04_09_2025,-1.85,8.70,-3.64,0.00,-0.01,-0.00,-130.77,-8.16,-7.91
-12579,3.23,-5194,2.67,656,3,3698,06_46_02_04_09_2025,-1.85,8.69,-3.64,0.01,-0.01,-0.00,-131.16,-8.13,-8.11
-12681,3.23,-5197,2.67,656,3,3734,06_46_02_04_09_2025,-1.86,8.69,-3.62,0.00,-0.00,-0.00,-130.91,-7.98,-8.24
-12613,3.23,-5343,2.68,656,3,3770,06_46_02_04_09_2025,-1.84,8.70,-3.65,0.01,-0.01,-0.00,-130.72,-7.80,-8.39
-12629,3.23,-5001,2.65,656,3,3818,06_46_02_04_09_2025,-1.87,8.70,-3.64,0.00,-0.01,-0.01,-130.59,-7.85,-8.56
-12609,3.23,-5039,2.65,655,3,3856,06_46_02_04_09_2025,-1.86,8.72,-3.63,0.01,-0.01,-0.00,-130.72,-8.27,-7.23
-12535,3.22,-5126,2.66,656,3,3894,06_46_02_04_09_2025,-1.84,8.68,-3.64,0.00,-0.01,-0.01,-130.47,-8.11,-8.51
-12676,3.23,-5044,2.65,655,3,3933,06_46_02_04_09_2025,-1.85,8.69,-3.65,0.01,-0.01,-0.00,-131.16,-7.80,-7.75
