raw1,force1,raw2,force2,vbat_raw,vbat_v,millis,time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
-10502,3.068,-7100,2.811,643,3142,36585,15_08_05_05_11_2025,4.262,-9.016,-0.584,-0.002,-0.024,0.006,-73.531,110.099,-8.331
-10259,3.050,-6968,2.801,642,3137,36615,15_08_05_05_11_2025,4.258,-9.082,-0.431,0.021,-0.029,0.016,-74.130,109.719,-8.652
-10424,3.062,-6988,2.802,643,3142,36639,15_08_05_05_11_2025,4.204,-9.074,-0.394,0.005,-0.028,0.027,-74.481,109.880,-9.047
-10408,3.061,-6815,2.789,643,3142,36656,15_08_05_05_11_2025,4.164,-9.081,-0.462,-0.001,-0.027,0.024,-73.619,110.216,-8.287
-10361,3.058,-6841,2.791,643,3142,36680,15_08_05_05_11_2025,4.122,-9.077,-0.458,-0.002,-0.029,0.011,-73.999,109.427,-8.550
-10307,3.054,-6777,2.786,643,3142,36698,15_08_05_05_11_2025,4.152,-9.051,-0.395,0.002,-0.028,-0.002,-73.940,109.982,-8.024
-10367,3.058,-6767,2.785,643,3142,36716,15_08_05_05_11_2025,4.169,-9.081,-0.389,0.007,-0.022,-0.010,-73.721,110.333,-8.769
-10430,3.063,-6746,2.784,643,3142,36734,15_08_05_05_11_2025,4.201,-9.090,-0.400,0.012,-0.023,-0.006,-73.531,110.333,-8.462
-10424,3.062,-6739,2.783,643,3142,36757,15_08_05_05_11_2025,4.083,-9.023,-0.489,0.023,-0.020,-0.012,-73.093,109.778,-8.609
-10324,3.055,-6762,2.785,642,3137,36775,15_08_05_05_11_2025,4.094,-8.948,-0.464,0.038,-0.012,-0.005,-73.458,110.231,-8.170
-10445,3.064,-6969,2.801,643,3142,36793,15_08_05_05_11_2025,4.216,-9.016,-0.518,0.017,-0.015,0.001,-73.809,110.085,-8.462
-10501,3.068,-7023,2.805,643,3142,36810,15_08_05_05_11_2025,4.309,-9.095,-0.660,0.009,-0.020,-0.001,-73.648,109.953,-7.834
-10740,3.086,-7024,2.805,643,3142,36833,15_08_05_05_11_2025,4.302,-9.106,-0.432,0.035,-0.022,0.028,-73.356,109.661,-8.448
-10697,3.083,-6956,2.800,643,3142,36852,15_08_05_05_11_2025,4.197,-9.031,-0.328,0.023,-0.021,0.040,-73.370,110.099,-8.740
-10525,3.070,-6787,2.787,643,3142,36869,15_08_05_05_11_2025,4.124,-9.046,-0.398,0.010,-0.017,0.044,-73.780,110.143,-9.062
-10523,3.070,-6734,2.783,642,3137,36886,15_08_05_05_11_2025,4.046,-9.031,-0.480,0.004,-0.017,0.034,-73.341,110.041,-8.302
-10543,3.071,-6856,2.792,643,3142,36909,15_08_05_05_11_2025,4.050,-9.054,-0.465,0.004,-0.018,0.016,-72.757,110.246,-8.506
-10797,3.091,-6885,2.794,643,3142,36926,15_08_05_05_11_2025,4.067,-9.034,-0.396,0.006,-0.018,0.005,-73.546,109.982,-8.258
-10666,3.081,-6930,2.798,643,3142,36944,15_08_05_05_11_2025,4.131,-9.108,-0.298,-0.004,-0.022,-0.005,-73.692,110.172,-9.120
-10591,3.075,-6763,2.785,643,3142,36961,15_08_05_05_11_2025,4.137,-9.068,-0.325,-0.006,-0.023,-0.004,-73.210,109.924,-8.272
-10526,3.070,-6806,2.788,643,3142,36985,15_08_05_05_11_2025,4.097,-9.041,-0.397,0.002,-0.024,-0.007,-73.590,109.456,-8.492
-10637,3.079,-6756,2.785,643,3142,37003,15_08_05_05_11_2025,4.123,-9.040,-0.450,0.015,-0.018,-0.016,-73.356,110.567,-8.521
-10566,3.073,-6805,2.788,643,3142,37020,15_08_05_05_11_2025,4.173,-9.015,-0.488,0.017,-0.018,-0.010,-72.888,109.968,-8.638
-10559,3.073,-6858,2.792,643,3142,37038,15_08_05_05_11_2025,4.199,-9.101,-0.610,0.007,-0.018,-0.002,-73.034,110.246,-8.331
-10476,3.066,-6859,2.792,643,3142,37062,15_08_05_05_11_2025,4.222,-9.114,-0.621,0.016,-0.017,0.015,-73.443,109.705,-8.740
-10702,3.083,-6821,2.789,643,3142,37080,15_08_05_05_11_2025,4.199,-9.077,-0.452,0.032,-0.018,0.023,-72.961,110.246,-7.951
-10630,3.078,-7011,2.804,643,3142,37097,15_08_05_05_11_2025,4.153,-9.095,-0.349,0.021,-0.017,0.033,-73.063,110.289,-7.644
-10436,3.063,-6796,2.788,643,3142,37116,15_08_05_05_11_2025,4.099,-9.103,-0.389,0.009,-0.016,0.038,-73.166,110.041,-7.995
-10587,3.075,-6781,2.786,642,3137,37133,15_08_05_05_11_2025,4.037,-9.082,-0.427,0.010,-0.013,0.038,-72.654,109.763,-8.579
-10574,3.074,-6642,2.776,642,3137,37157,15_08_05_05_11_2025,4.052,-9.044,-0.382,0.007,-0.011,0.031,-73.107,109.281,-8.872
-10688,3.082,-6652,2.777,643,3142,37175,15_08_05_05_11_2025,4.051,-9.052,-0.382,0.002,-0.015,0.015,-72.932,109.953,-8.433
-10554,3.072,-6764,2.785,643,3142,37192,15_08_05_05_11_2025,4.044,-9.088,-0.343,0.001,-0.016,0.004,-72.669,110.056,-8.389
-10545,3.072,-6812,2.789,643,3142,37210,15_08_06_05_11_2025,4.070,-9.145,-0.282,-0.007,-0.017,0.001,-73.063,110.216,-8.419
-10718,3.085,-6688,2.779,643,3142,37234,15_08_06_05_11_2025,4.040,-9.071,-0.402,0.017,-0.012,-0.010,-73.005,109.486,-8.258
-10339,3.056,-6681,2.779,643,3142,37252,15_08_06_05_11_2025,4.015,-8.977,-0.336,0.031,-0.004,-0.013,-72.888,109.953,-8.039
-10489,3.067,-6807,2.788,643,3142,37270,15_08_06_05_11_2025,4.105,-9.096,-0.447,-0.004,0.000,-0.011,-73.370,109.909,-8.331
