raw1,force1,raw2,force2,vbat_raw,vbat_v,millis,time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
-12342,3.21,0,2.27,655,3,3051,06_46_44_04_09_2025,-1.83,8.69,-3.63,0.03,0.10,0.13,-129.99,-9.05,-7.85
-12400,3.21,-5413,2.68,656,3,3088,06_46_44_04_09_2025,-1.87,8.69,-3.63,0.00,-0.01,-0.00,-130.36,-8.51,-8.17
-12255,3.20,-5294,2.67,655,3,3124,06_46_44_04_09_2025,-1.87,8.69,-3.63,0.01,-0.01,-0.00,-130.01,-8.81,-8.32
-12474,3.22,-5089,2.66,655,3,3160,06_46_44_04_09_2025,-1.82,8.69,-3.66,0.01,-0.01,-0.00,-129.70,-8.42,-8.36
-12299,3.20,-5177,2.66,655,3,3200,06_46_44_04_09_2025,-1.84,8.68,-3.63,0.00,-0.01,-0.01,-130.43,-8.48,-8.10
-12418,3.21,-5138,2.66,655,3,3237,06_46_44_04_09_2025,-1.88,8.69,-3.62,0.01,-0.01,-0.00,-130.05,-8.27,-7.44
-12454,3.22,-5163,2.66,655,3,3274,06_46_45_04_09_2025,-1.85,8.69,-3.63,0.01,-0.01,-0.00,-129.96,-8.52,-7.61
-12413,3.21,-5084,2.66,656,3,3312,06_46_45_04_09_2025,-1.84,8.70,-3.65,0.01,-0.01,-0.00,-130.14,-8.36,-7.99
-12436,3.21,-5116,2.66,655,3,3349,06_46_45_04_09_2025,-1.86,8.68,-3.65,0.00,-0.01,-0.01,-130.36,-8.04,-7.44
-12434,3.21,-4946,2.65,656,3,3396,06_46_45_04_09_2025,-1.86,8.69,-3.65,0.01,-0.01,-0.00,-130.23,-8.54,-8.08
-12536,3.22,-5081,2.66,655,3,3436,06_46_45_04_09_2025,-1.86,8.68,-3.64,0.01,-0.01,-0.00,-130.11,-8.46,-7.57
-12340,3.21,-5108,2.66,656,3,3476,06_46_45_04_09_2025,-1.85,8.71,-3.63,0.00,-0.01,-0.00,-129.86,-8.21,-8.05
-12385,3.21,-5283,2.67,655,3,3514,06_46_45_04_09_2025,-1.86,8.68,-3.64,0.01,-0.01,-0.01,-130.56,-8.56,-7.80
-12431,3.21,-5135,2.66,655,3,3556,06_46_45_04_09_2025,-1.87,8.69,-3.63,0.00,-0.01,-0.00,-129.47,-8.30,-7.92
-12408,3.21,-5113,2.66,655,3,3598,06_46_45_04_09_2025,-1.84,8.69,-3.63,0.01,-0.01,-0.00,-130.30,-8.16,-7.78
-12280,3.20,-5041,2.65,655,3,3637,06_46_45_04_09_2025,-1.84,8.69,-3.65,0.00,-0.01,-0.00,-129.99,-8.13,-7.85
-12384,3.21,-5165,2.66,656,3,3677,06_46_45_04_09_2025,-1.86,8.70,-3.64,0.00,-0.01,-0.00,-130.36,-8.27,-7.40
-12275,3.20,-5196,2.67,656,3,3716,06_46_45_04_09_2025,-1.85,8.69,-3.65,0.00,-0.01,-0.00,-129.98,-8.08,-6.88
-12205,3.20,-5055,2.66,655,3,3766,06_46_45_04_09_2025,-1.84,8.70,-3.64,0.01,-0.01,-0.00,-130.01,-8.13,-7.38
-12342,3.21,-4877,2.64,655,3,3806,06_46_45_04_09_2025,-1.87,8.71,-3.65,0.01,-0.00,-0.00,-130.01,-7.72,-7.41
-12398,3.21,-4806,2.64,656,3,3844,06_46_45_04_09_2025,-1.81,8.68,-3.65,-0.00,-0.01,-0.00,-130.24,-7.64,-7.25
-12286,3.20,-4937,2.65,656,3,3884,06_46_45_04_09_2025,-1.91,8.64,-3.65,-0.00,-0.01,-0.00,-130.56,-8.14,-7.48
-12346,3.21,-4976,2.65,655,3,3922,06_46_45_04_09_2025,-1.84,8.63,-3.58,0.00,-0.00,-0.00,-130.31,-7.78,-7.40
-12292,3.20,-5006,2.65,655,3,3964,06_46_45_04_09_2025,-1.75,8.72,-3.71,0.03,-0.00,0.01,-130.63,-8.17,-7.69
-12367,3.21,-4936,2.65,655,3,4004,06_46_45_04_09_2025,-1.93,8.73,-3.63,-0.01,-0.01,-0.02,-129.96,-7.94,-8.35
-12400,3.21,-5079,2.66,655,3,4042,06_46_45_04_09_2025,-1.90,8.66,-3.57,0.00,-0.01,-0.01,-130.11,-8.16,-7.95
-12256,3.20,-4965,2.65,655,3,4081,06_46_45_04_09_2025,-1.74,8.68,-3.67,0.03,-0.00,0.00,-130.47,-7.63,-7.28
